packet,world,seed,dimension,rate,first,second,estimate,ci_lower,ci_upper,test_groups,test_trials,units,ci_scope,oracle_expected_gain_bits
N1,trial_key,21101,64,0.15,HP,HPB,0.07446707365931142,0.05465419059764366,0.09532897222850861,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.08888211473693176
N1,trial_key,21101,64,0.15,HB,HPB,0.07359729026766636,0.05269129238347466,0.09456326877598598,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.11025730211479932
N1,trial_key,21101,64,0.15,HPBnoise,HPB,0.07371312456640919,0.0529033337852728,0.0956930855404668,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,trial_key,21101,64,0.15,HPP,HPB,0.06933052189092882,0.05181655504119981,0.09044077458485733,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,group_key,21101,64,0.15,HP,HPB,0.08919455410149228,0.07668212552368729,0.10699581409938923,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.0905012909336752
N1,group_key,21101,64,0.15,HB,HPB,0.09212958103710117,0.07872913506316129,0.11192792450546094,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.10864848524239541
N1,group_key,21101,64,0.15,HPBnoise,HPB,0.09073068804560691,0.0780238945718158,0.10948643683133039,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,group_key,21101,64,0.15,HPP,HPB,0.08966024007235214,0.0732751077803755,0.11414849126378811,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,additive_background,21101,64,0.15,HP,HPB,0.03976869183526895,0.029179024363970237,0.04851854071755622,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.07845750913346095
N1,additive_background,21101,64,0.15,HB,HPB,0.07528319976217701,0.06077953317980349,0.08952869459117399,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.10672328397963804
N1,additive_background,21101,64,0.15,HPBnoise,HPB,0.03976869183526895,0.029179024363970237,0.04851854071755622,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,additive_background,21101,64,0.15,HPP,HPB,0.03976869183526895,0.029179024363970237,0.04851854071755622,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,independent_background,21101,64,0.15,HP,HPB,0.0,0.0,0.0,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.0
N1,independent_background,21101,64,0.15,HB,HPB,0.11193870978374036,0.09759538603868446,0.12314386911354912,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.10672328397963804
N1,independent_background,21101,64,0.15,HPBnoise,HPB,0.0,0.0,0.0,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,independent_background,21101,64,0.15,HPP,HPB,0.0,0.0,0.0,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,
N1,history_only,21101,64,0.15,HP,HPB,-0.001113997788612787,-0.002280952943188765,0.00010893246424027985,12,8642,bits_per_trial,fixed_predictions_identity_bootstrap,0.0
