packet,representation,readout_family,source_run,scope,planned_fits,attempted_fits,completed_fits,unresolved_fits,reused_fits,new_fits,status,selected_budget,extended_members,code_hash,notes
GATES,,,tests_010,source_summary_not_per_fit_count,,,,,,25.0,PASS,,,298c016c2d315c555bb999919279f87267f77cbb8f9e24fba3e67894501d7d2d,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
GATES,,,tests_009,source_summary_not_per_fit_count,,,,,,,BUG,,,8f399c209a938169c9bbf7986b12bed95bee0d8d650c665e9c3d66ab8e8402dd,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
G0,,,G0_001,source_summary_not_per_fit_count,,,,,,0.0,PASS,,,b659998af42043e56e0b553ed5996d5ba6ebd6d457c712411d87b5bbc4cad4d1,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
G0,,,G0_metadata_002,source_summary_not_per_fit_count,,,,,,0.0,PASS,,,00014f072d48c4be665512be6e949fbeed7e4f35d28314212051da097f7171b5,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
G0,,,G0_readouts_001,source_summary_not_per_fit_count,,,,,,,PASS,,,c55a5c6bb34c52931e03b25a9988475bdd752e5d5e45a55785555cb68eb969cc,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
A2,,,A2_core_001,source_summary_not_per_fit_count,,,,,,0.0,PASS,,,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
A2,,,A2_residual_001,source_summary_not_per_fit_count,,,,,,,BUG,,,c55a5c6bb34c52931e03b25a9988475bdd752e5d5e45a55785555cb68eb969cc,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
A2,,,A2_residual_recovered_001,source_summary_not_per_fit_count,,0.0,0.0,,20.0,0.0,PASS,,,298c016c2d315c555bb999919279f87267f77cbb8f9e24fba3e67894501d7d2d,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
N1,,,N1_core_001,source_summary_not_per_fit_count,,760.0,,,,,PASS,,,771fd4ec025f2d2d846cbe5eae0f8e33dc543bccb9b591b9dfba6d1931ded21e,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
N2,,,N2_core_001,source_summary_not_per_fit_count,,720.0,480.0,,,,NUMERICAL_FAILURE,,,6ef59158bbe2cbc2324356fc4e7de146eaf46ba614781c7339068d4ff818f8c6,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
N3,,,N3_core_001,source_summary_not_per_fit_count,,600.0,,,,,PASS,,,0dee0f0f7308645afdce98d058add79ab68e6a740cb30d69c62d9162834eb4f6,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
C2_S,,,C2S_core_001,source_summary_not_per_fit_count,,390.0,390.0,,,,PASS,,,a1ef8cf32b38a3547e7f1bf3560ec6ebbebed985afdcae84659bca9e2d626baa,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
C2_R,,,C2R_core_001,source_summary_not_per_fit_count,,,,,,,PASS,2000.0,560.0,b6f774a77024ab430f4c4bbf0d2d0073ce2974929fd011b9c6077457e41c4e2e,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
E0_R,,,E0R_core_001,source_summary_not_per_fit_count,,,,,,,NUMERICAL_FAILURE,2000.0,1024.0,cd0d9ff24d31794e28b45b6ef824a6582a841de7fb786987a45ec144f7dff727,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
SYNTHETIC,,,synthetic_001,source_summary_not_per_fit_count,,,,,,,NUMERICAL_FAILURE,,,b6f774a77024ab430f4c4bbf0d2d0073ce2974929fd011b9c6077457e41c4e2e,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
FIT_AUDIT,,,fit_accounting_001,source_summary_not_per_fit_count,,,,,,,PASS,,,69e40ff43ba2a812affe47a474769c94e70e965d99300f29abad9402e26b3e46,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
GATES,,,tests_011,source_summary_not_per_fit_count,,,,,,25.0,PASS,,,7262e49c403b39577756c604593c47e5a9df3993f4ebfd2e8b85af3f1707455b,原失败回执保留；启动/完成的精确计数以独立fit_accounting为准，不从计划推算执行。
N1,R_SIM,logistic,N1_core_001,complete_family:P_nat,120.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N1,R_SIM,mlp32,N1_core_001,complete_family:P_nat,160.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N1,R_SIM,logistic,N1_core_001,complete_family:P_bal,120.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N1,R_SIM,mlp32,N1_core_001,complete_family:P_bal,120.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N1,L0,logistic,N1_core_001,complete_family:P_nat,120.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N1,L0,logistic,N1_core_001,complete_family:P_bal,120.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N3,R_SIM,logistic,N3_core_001,complete_family:P_nat,100.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N3,R_SIM,mlp32,N3_core_001,complete_family:P_nat,100.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N3,R_SIM,logistic,N3_core_001,complete_family:P_bal,100.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N3,R_SIM,mlp32,N3_core_001,complete_family:P_bal,100.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N3,L0,logistic,N3_core_001,complete_family:P_nat,100.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
N3,L0,logistic,N3_core_001,complete_family:P_bal,100.0,,,,,,PASS,,,,fit_count为此族清单大小；不凭complete标志制造逐fit字段。
ALL,,,fit_accounting_001,independent_receipt_accounting,,7639.0,6829.0,649.0,20.0,,FIT_ACCOUNTING_PARTIAL,,,,只接受独立台账明确head总量，缺失留空；fit_attempts可能含transform，不直接对7778头预算。复用不是新fit，完整字段覆盖另表。
