packet,stage,representation,outer_fold,n_candidates,n_records,n_trials,n_bags,count_required,support_status,source_run,overlap_definition_hash,notes
A2,frozen_metadata,,,49.0,,,,25.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,历史在QC前构造；元数据/标签支持选择已先于新EEG效应冻结。
N1,frozen_metadata,,,59.0,,,,20.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,历史在QC前构造；元数据/标签支持选择已先于新EEG效应冻结。
N3,frozen_metadata,,,60.0,,,,20.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,历史在QC前构造；元数据/标签支持选择已先于新EEG效应冻结。
N2,k=1,,,59.0,,27572.0,27572.0,20.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,
N2,k=4,,,58.0,,27048.0,6762.0,20.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,
N2,k=8,,,57.0,,26456.0,3307.0,20.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,
N2,k=16,,,44.0,,22128.0,1383.0,20.0,SUFFICIENT_FOR_SCREEN,S1_support_004,,
N2,common_k4_8_16_support_only,,,44.0,,,,,SUFFICIENT_FOR_SCREEN,S1_support_004,,只计共同支持，不表示已拟合各k曲线。
G0,refined_temporal_support,,,57.0,57.0,,,,,G0_metadata_002,,替代G0_001临时时间角色和桥接支持规则；旧指标复现仍保留。
A2,main_frozen_cohort,,,49.0,,,,,SUFFICIENT_FOR_SCREEN,A2_core_001,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,全模型共同队列；不合并不同encoder坐标。
C2_S,same_P1_P2_trial_pool,,,60.0,,44283.0,,20.0,SUFFICIENT_FOR_SCREEN,C2S_core_001,,whole-record QC决定共同入选，selection_isolation=False。
C2_S,outer_support,,0.0,12.0,,,,,,C2S_core_001,,训练人数=48
C2_S,outer_support,,1.0,12.0,,,,,,C2S_core_001,,训练人数=48
C2_S,outer_support,,2.0,12.0,,,,,,C2S_core_001,,训练人数=48
C2_S,outer_support,,3.0,12.0,,,,,,C2S_core_001,,训练人数=48
C2_S,outer_support,,4.0,12.0,,,,,,C2S_core_001,,训练人数=48
C2_R,main_frozen_cohort,,,60.0,,,,,,C2R_core_001,,全模型共同队列；不合并不同encoder坐标。
E0_R,records_requested,,,,18.0,,,,,E0R_core_001,,混合MFF来源，原native128；不把record数当儿童数。
E0_R,records_with_block_support,,,,16.0,,,,,E0R_core_001,,混合MFF来源，原native128；不把record数当儿童数。
E0_R,legacy_linear_records_complete,,,,16.0,,,,DESCRIPTIVE_ONLY,E0_native_003,,完整配对计数为每任务记录数；神经记录全部头稳定与整族主聚合许可分开，0聚合许可不等于0信号。
E0_R,legacy_linear_complete_pairs,,,,7.0,,,,DESCRIPTIVE_ONLY,E0_native_003,,完整配对计数为每任务记录数；神经记录全部头稳定与整族主聚合许可分开，0聚合许可不等于0信号。
E0_R,mlp_records_all_required_heads_stable,,,,0.0,,,,DESCRIPTIVE_ONLY,E0R_core_001,,完整配对计数为每任务记录数；神经记录全部头稳定与整族主聚合许可分开，0聚合许可不等于0信号。
E0_R,mlp_records_available_for_primary_aggregation,,,,0.0,,,,DESCRIPTIVE_ONLY,E0R_core_001,,完整配对计数为每任务记录数；神经记录全部头稳定与整族主聚合许可分开，0聚合许可不等于0信号。
