packet,control,representation,population_id,readout_family,calibration,status,estimate,ci_lower,ci_upper,n_candidates,n_trials,source_run,notes
G0,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
G0,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
A2,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
A2,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
A2,complete_prespecified_primary_aggregates,,,,,COMPLETE,,,,,,A2_core_001,
C2_R,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
C2_R,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
C2_R,complete_prespecified_primary_aggregates,,,,,COMPLETE,,,,,,C2R_core_001,
C2_S,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
C2_S,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
C2_S,complete_prespecified_primary_aggregates,,,,,COMPLETE,,,,,,C2S_core_001,
N1,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
N1,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
N1,complete_prespecified_primary_aggregates,,,,,COMPLETE,,,,,,N1_core_001,
N2,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
N2,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
N2,complete_prespecified_primary_aggregates,,,,,COMPLETE,,,,,,N2_core_001,
N3,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
N3,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
N3,complete_prespecified_primary_aggregates,,,,,COMPLETE,,,,,,N3_core_001,
E0_R,frozen_implementation_contracts,,,,,COMPLETE,,,,,,tests_010,主real-head gate固定tests_010；tests_011只补充实现验收，不改已拟合源。
E0_R,legacy_integrity_and_private_permissions,,,,,COMPLETE,,,,,,postflight_002,
E0_R,complete_prespecified_primary_aggregates,,,,,MISSING,,,,,,E0R_core_001,
G0,prespecified_synthetic_execution_coverage,,,,,COMPLETE,,,,,,synthetic_001,完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
G0,prespecified_synthetic_direction_and_controls,,,,,MISSING,,,,,,synthetic_001,DIRECTION_INTERPRETATION_SEPARATE_NO_RATE_GATE; null不应稳定优于先验；injected应出现可检测的先验减读出CE，固定单世界门槛0.01 bits/trial。 完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
A2,prespecified_synthetic_execution_coverage,,,,,COMPLETE,,,,,,synthetic_001,完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
A2,prespecified_synthetic_direction_and_controls,,,,,MISSING,,,,,,synthetic_001,DIRECTION_INTERPRETATION_SEPARATE_NO_RATE_GATE; null下固定非零W可制造残差重复性；W=0/固定W/训练拟合W共享draw。真实nuisance可重复但不是刺激特异信息；个体刺激世界应有未校正差异。单世界T门槛0.05，另核对四项恒等式。 完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
